ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,Year,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL,B365W,B365L,B&WW,B&WL,EXW,EXL,PSW,PSL,WPts,LPts,UBW,UBL,LBW,LBL,SJW,SJL,MaxW,MaxL,AvgW,AvgL,Unnamed: 0
67,Houston,Masters Cup,2003-11-17,Masters Cup,Outdoor,Hard,The Final,5.0,Federer R.,Agassi A.,3,5,6.0,3.0,6.0,0.0,6.0,4.0,,,,,3.0,0.0,Completed,2003,1.48,2.65,,,1.4,2.5,1.444,2.625,1.5,2.5,,,,,,,,,,,,,,,,,,,
1,Adelaide,AAPT Championships,2004-01-11,International,Outdoor,Hard,The Final,3.0,Hrbaty D.,Llodra M.,61,173,6.0,4.0,6.0,0.0,,,,,,,2.0,0.0,Completed,2004,1.67,2.15,,,1.7,1.8,,,1.727,2.0,,,1.65,2.15,1.725,2.2,,,,,,,,,,,,,
2,Chennai,TATA Open,2004-01-11,International,Outdoor,Hard,The Final,3.0,Moya C.,Srichaphan P.,7,11,6.0,4.0,3.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,2004,1.7,2.1,,,1.55,2.0,,,1.667,2.1,,,1.85,1.9,,,,,,,,,,,,,,,
3,Doha,Qatar Exxon Mobil Open,2004-01-10,International,Outdoor,Hard,The Final,3.0,Escude N.,Ljubicic I.,114,42,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2004,1.67,2.15,,,1.6,1.9,,,1.615,2.2,,,1.6,2.25,1.629,2.43,,,,,,,,,,,,,
4,Auckland,Heineken Open,2004-01-17,International,Outdoor,Hard,The Final,3.0,Hrbaty D.,Nadal R.,54,48,4.0,6.0,6.0,2.0,7.0,5.0,,,,,2.0,1.0,Completed,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sydney,adidas International,2004-01-17,International,Outdoor,Hard,The Final,3.0,Hewitt L.,Moya C.,15,7,4.0,3.0,,,,,,,,,0.0,0.0,Retired,2004,1.6,2.25,,,,,,,1.615,2.2,,,1.67,2.12,1.667,2.34,,,,,,,,,,,,,
6,Melbourne,Australian Open,2004-01-31,Grand Slam,Outdoor,Hard,The Final,5.0,Federer R.,Safin M.,2,86,7.0,6.0,6.0,4.0,6.0,2.0,,,,,3.0,0.0,Completed,2004,1.4,2.85,,,1.35,2.7,,,1.4,3.0,,,1.47,2.86,1.444,3.0,,,,,,,,,,,,,
7,Milan,Indesit ATP Milano Indoor ,2004-02-15,International,Indoor,Carpet,The Final,3.0,Dupuis A.,Ancic M.,97,107,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2004,2.6,1.5,,,2.35,1.45,,,2.375,1.533,,,2.45,1.5,2.77,1.508,,,,,,,,,,,,,
8,San Jose,Siebel Open,2004-02-15,International,Indoor,Hard,The Final,3.0,Roddick A.,Fish M.,3,21,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2004,1.22,4.25,,,1.15,4.0,,,1.167,4.5,,,1.25,3.75,1.244,4.5,,,,,,,,,,,,,
9,Vina del Mar,Bellsouth Open,2004-02-16,International,Outdoor,Clay,The Final,3.0,Gonzalez F.,Kuerten G.,36,17,7.0,5.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2004,1.95,1.85,,,1.8,1.8,,,2.0,1.727,,,1.85,1.85,1.952,1.901,,,,,,,,,,,,,
10,Buenos Aires,ATP Buenos Aires 2004,2004-02-22,International,Outdoor,Clay,The Final,3.0,Coria G.,Moya C.,4,7,6.0,4.0,6.0,1.0,,,,,,,2.0,0.0,Completed,2004,1.67,2.2,,,1.6,2.0,,,1.533,2.375,,,1.58,2.28,1.676,2.32,,,,,,,,,,,,,
11,Memphis,Kroger St. Jude,2004-02-22,International Gold,Indoor,Hard,The Final,3.0,Johansson J.,Kiefer N.,71,57,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2004,1.53,2.5,,,1.45,2.35,,,1.5,2.5,,,1.5,2.45,1.588,2.52,,,,,,,,,,,,,
12,Rotterdam,ABN AMRO World Tennis Tournament,2004-02-22,International Gold,Indoor,Hard,The Final,3.0,Hewitt L.,Ferrero J.C.,13,3,6.0,7.0,7.0,5.0,6.0,4.0,,,,,2.0,1.0,Completed,2004,1.45,2.75,,,1.45,2.35,,,1.533,2.375,,,1.42,2.75,1.529,2.69,,,,,,,,,,,,,
13,Costa Do Sauipe,Brasil Open,2004-02-29,International,Outdoor,Clay,The Final,3.0,Kuerten G.,Calleri A.,17,21,3.0,6.0,6.0,2.0,6.0,3.0,,,,,2.0,1.0,Completed,2004,1.5,2.55,,,1.45,2.35,,,1.533,2.375,,,1.53,2.4,1.556,2.62,,,,,,,,,,,,,
14,Marseille,Open 13,2004-02-29,International,Indoor,Hard,The Final,3.0,Hrbaty D.,Soderling R.,44,57,4.0,6.0,6.0,4.0,6.0,4.0,,,,,2.0,1.0,Completed,2004,1.81,2.05,,,1.65,1.95,,,1.833,1.833,,,1.75,2.0,1.833,2.02,,,,,,,,,,,,,
15,Acapulco,Abierto Mexicano,2004-03-07,International Gold,Outdoor,Clay,The Final,3.0,Moya C.,Verdasco F.,7,103,6.0,3.0,6.0,0.0,,,,,,,2.0,0.0,Completed,2004,1.33,3.45,,,1.25,3.2,,,1.286,3.5,,,1.3,3.35,1.345,3.4,,,,,,,,,,,,,
16,Dubai ,Dubai Championships,2004-03-07,International Gold,Outdoor,Hard,The Final,3.0,Federer R.,Lopez F.,1,32,4.0,6.0,6.0,1.0,6.0,2.0,,,,,2.0,1.0,Completed,2004,1.17,5.4,,,1.1,4.8,,,1.167,4.5,,,1.15,5.2,1.149,6.32,,,,,,,,,,,,,
17,Scottsdale,Franklin Templeton Tennis Classic,2004-03-07,International,Outdoor,Hard,The Final,3.0,Spadea V.,Kiefer N.,29,46,7.0,5.0,6.0,7.0,6.0,3.0,,,,,2.0,1.0,Completed,2004,1.9,1.93,,,1.8,1.8,,,1.833,1.833,,,1.75,2.0,1.847,2.0,,,,,,,,,,,,,
18,Indian Wells,Pacific Life Open,2004-03-21,Masters,Outdoor,Hard,The Final,3.0,Federer R.,Henman T.,1,10,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2004,1.45,2.85,,,1.45,2.35,,,1.44,2.75,,,1.4,2.85,1.441,2.97,,,,,,,,,,,,,
19,Miami,NASDAQ-100 Open,2004-04-04,Masters,Outdoor,Hard,The Final,5.0,Roddick A.,Coria G.,3,4,6.0,7.0,6.0,3.0,6.0,1.0,,,,,2.0,1.0,Retired,2004,1.42,2.9,,,1.35,2.7,,,1.36,3.25,,,1.35,3.1,1.4,3.2,,,,,,,,,,,,,
20,Estoril ,Estoril Open,2004-04-18,International,Outdoor,Clay,The Final,3.0,Chela J.I.,Safin M.,26,32,6.0,7.0,6.0,3.0,6.0,3.0,,,,,2.0,1.0,Completed,2004,2.1,1.73,,,1.8,1.8,,,2.2,1.615,,,2.05,1.75,2.16,1.735,,,,,,,,,,,,,
21,Houston,U.S. Men's Clay Court Championships,2004-04-18,International,Outdoor,Clay,The Final,3.0,Haas T.,Roddick A.,349,2,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2004,3.55,1.3,,,2.9,1.3,,,3.5,1.28,,,3.75,1.25,3.62,1.321,,,,,,,,,,,,,
22,Valencia,CAM Open Comunidad Valenciana,2004-04-18,International,Outdoor,Clay,The Final,3.0,Verdasco F.,Montanes A.,73,110,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2004,1.4,2.9,,,1.45,2.35,,,1.615,2.2,,,1.37,2.92,1.467,2.89,,,,,,,,,,,,,
23,Monte Carlo,Monte Carlo Masters,2004-04-25,Masters,Outdoor,Clay,The Final,5.0,Coria G.,Schuettler R.,4,6,6.0,2.0,6.0,1.0,6.0,3.0,,,,,3.0,0.0,Completed,2004,1.28,3.85,,,1.3,2.9,,,1.286,3.75,,,1.25,3.75,1.277,4.05,,,,,,,,,,,,,
24,Barcelona,Open Seat Godo,2004-05-02,International Gold,Outdoor,Clay,The Final,5.0,Robredo T.,Gaudio G.,26,39,6.0,3.0,4.0,6.0,6.0,2.0,3.0,6.0,6.0,3.0,3.0,2.0,Completed,2004,2.1,1.73,,,2.0,1.6,,,2.0,1.727,,,2.15,1.65,2.18,1.735,,,,,,,,,,,,,
25,Munich,BMW Open,2004-05-02,International,Outdoor,Clay,The Final,3.0,Davydenko N.,Verkerk M.,60,17,6.0,4.0,7.0,5.0,,,,,,,2.0,0.0,Completed,2004,1.55,2.45,,,1.55,2.1,,,1.615,2.2,,,1.65,2.1,1.621,2.43,,,,,,,,,,,,,
26,Rome,Telecom Italia Masters Roma,2004-05-09,Masters,Outdoor,Clay,The Final,5.0,Moya C.,Nalbandian D.,9,8,6.0,3.0,6.0,3.0,6.0,1.0,,,,,3.0,0.0,Completed,2004,1.62,2.3,,,1.55,2.1,,,1.57,2.37,,,1.55,2.35,1.625,2.4,,,,,,,,,,,,,
27,Hamburg,Hamburg TMS,2004-05-16,Masters,Outdoor,Clay,The Final,5.0,Federer R.,Coria G.,1,3,4.0,6.0,6.0,4.0,6.0,2.0,6.0,2.0,,,3.0,1.0,Completed,2004,1.5,2.6,,,1.45,2.35,,,1.444,2.625,,,1.5,2.67,1.51,2.73,,,,,,,,,,,,,
28,Casablanca,Grand Prix Hassan II,2004-05-22,International,Outdoor,Clay,The Final,3.0,Ventura S.,Hrbaty D.,316,32,6.0,3.0,1.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,2004,4.0,1.25,,,3.2,1.25,,,4.0,1.22,,,4.25,1.2,4.5,1.241,,,,,,,,,,,,,
29,St. Polten,Internationaler Raiffeisen Grand Prix,2004-05-22,International,Outdoor,Clay,The Final,3.0,Volandri F.,Malisse X.,61,65,6.0,1.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2004,1.57,2.4,,,1.55,2.1,,,1.5,2.5,,,1.55,2.35,1.578,2.53,,,,,,,,,,,,,
30,Paris,French Open,2004-06-06,Grand Slam,Outdoor,Clay,The Final,5.0,Gaudio G.,Coria G.,44,3,0.0,6.0,3.0,6.0,6.0,4.0,6.0,1.0,8.0,6.0,3.0,2.0,Completed,2004,3.75,1.25,,,,,,,4.0,1.25,,,3.63,1.34,3.65,1.323,,,,,,,,,,,,,
31,Halle,Gerry Weber Open,2004-06-13,International,Outdoor,Grass,The Final,3.0,Federer R.,Fish M.,1,23,6.0,0.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2004,1.14,5.4,,,,,,,1.12,5.5,,,1.15,5.5,1.148,6.1,,,,,,,,,,,,,
32,Queens Club,Stella Artois,2004-06-13,International,Outdoor,Grass,The Final,3.0,Roddick A.,Grosjean S.,2,13,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2004,1.25,3.85,,,1.25,3.2,,,1.2,4.33,,,1.26,3.59,1.247,4.4,,,,,,,,,,,,,
33,'s-Hertogenbosch,Ordina Open,2004-06-20,International,Outdoor,Grass,The Final,3.0,Llodra M.,Coria G.,65,3,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2004,2.2,1.65,,,2.35,1.45,,,2.37,1.53,,,2.15,1.65,2.44,1.617,,,,,,,,,,,,,
34,Nottingham,Nottingham Open,2004-06-19,International,Outdoor,Grass,The Final,3.0,Srichaphan P.,Johansson T.,14,188,1.0,6.0,7.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,2004,1.73,2.05,,,1.6,2.0,,,1.833,1.833,,,1.75,2.0,1.787,2.11,,,,,,,,,,,,,
35,London,Wimbledon,2004-07-04,Grand Slam,Outdoor,Grass,The Final,5.0,Federer R.,Roddick A.,1,2,4.0,6.0,7.0,5.0,7.0,6.0,6.0,4.0,,,3.0,1.0,Completed,2004,1.25,4.0,,,1.25,3.2,,,1.25,3.75,,,1.27,4.13,1.289,4.06,,,,,,,,,,,,,
36,Bastad,Swedish Open,2004-07-12,International,Outdoor,Clay,The Final,3.0,Zabaleta M.,Gaudio G.,31,11,6.0,1.0,4.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,2004,2.4,1.57,,,2.0,1.6,,,2.5,1.5,,,2.25,1.6,2.52,1.585,,,,,,,,,,,,,
37,Gstaad,Allianz Suisse Open,2004-07-11,International,Outdoor,Clay,The Final,5.0,Federer R.,Andreev I.,1,62,6.0,2.0,6.0,3.0,5.0,7.0,6.0,3.0,,,3.0,1.0,Completed,2004,1.15,5.5,,,,,,,1.1,6.5,,,1.2,4.25,1.163,5.95,,,,,,,,,,,,,
38,Newport,Hall of Fame Championships,2004-07-11,International,Outdoor,Grass,The Final,3.0,Rusedski G.,Popp A.,166,111,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2004,1.85,1.93,,,1.8,1.8,,,2.0,1.72,,,1.8,1.95,1.98,1.877,,,,,,,,,,,,,
39,Amersfoort,Priority Telecom Dutch Open,2004-07-18,International,Outdoor,Clay,The Final,3.0,Verkerk M.,Gonzalez F.,53,21,7.0,6.0,4.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,2004,2.6,1.5,,,2.1,1.55,,,2.375,1.533,,,2.35,1.55,2.56,1.571,,,,,,,,,,,,,
40,Los Angeles,Mercedes-Benz Cup,2004-07-19,International,Outdoor,Hard,The Final,3.0,Haas T.,Kiefer N.,91,32,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2004,1.6,2.35,,,1.6,2.0,,,1.57,2.25,,,1.55,2.35,1.671,2.32,,,,,,,,,,,,,
41,Stuttgart,Mercedes Cup,2004-07-18,International Gold,Outdoor,Clay,The Final,5.0,Canas G.,Gaudio G.,70,11,5.0,7.0,6.0,2.0,6.0,0.0,1.0,6.0,6.0,3.0,3.0,2.0,Completed,2004,2.25,1.65,,,2.2,1.5,,,2.375,1.533,,,2.25,1.6,2.28,1.69,,,,,,,,,,,,,
42,Indianapolis,RCA Championships,2004-07-25,International,Outdoor,Hard,The Final,3.0,Roddick A.,Kiefer N.,2,30,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2004,1.22,4.25,,,1.25,3.2,,,,,,,1.28,3.46,1.235,4.6,,,,,,,,,,,,,
43,Kitzbuhel,Generali Open,2004-07-25,International Gold,Outdoor,Clay,The Final,3.0,Massu N.,Gaudio G.,13,11,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2004,3.15,1.36,,,,,,,,,,,2.85,1.4,3.0,1.435,,,,,,,,,,,,,
44,Umag,Croatia Open,2004-07-25,International,Outdoor,Clay,The Final,3.0,Canas G.,Volandri F.,42,65,7.0,5.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2004,1.7,2.1,,,1.6,2.0,,,,,,,1.8,1.95,1.694,2.27,,,,,,,,,,,,,
45,Toronto,Toronto TMS,2004-08-01,Masters,Outdoor,Hard,The Final,3.0,Federer R.,Roddick A.,1,2,7.0,5.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2004,,,,,,,,,,,,,,,1.49,2.74,,,,,,,,,,,,,
46,Cincinnati,Western & Southern Financial Group Masters,2004-08-08,Masters,Outdoor,Hard,The Final,3.0,Agassi A.,Hewitt L.,11,10,6.0,3.0,3.0,6.0,6.0,2.0,,,,,2.0,1.0,Completed,2004,2.2,1.67,,,1.9,1.7,,,2.2,1.66,,,2.38,1.59,2.34,1.658,,,,,,,,,,,,,
47,Sopot,Idea Prokom Open,2004-08-15,International,Outdoor,Clay,The Final,3.0,Nadal R.,Acasuso J.,71,105,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2004,1.25,3.8,,,1.25,3.2,,,1.25,3.5,,,1.2,4.25,1.274,4.05,,,,,,,,,,,,,
48,Washington,Legg Mason Classic,2004-08-22,International,Outdoor,Clay,The Final,3.0,Hewitt L.,Muller G.,8,124,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2004,1.11,6.5,,,1.1,5.0,,,1.08,7.0,,,1.1,6.75,1.125,7.0,,,,,,,,,,,,,
49,Long Island,TD Waterhouse Cup,2004-08-29,International,Outdoor,Hard,The Final,3.0,Hewitt L.,Horna L.,5,38,6.0,3.0,6.0,1.0,,,,,,,2.0,0.0,Completed,2004,1.15,5.25,,,1.15,4.0,,,1.16,4.5,,,1.15,5.2,1.177,5.55,,,,,,,,,,,,,
50,New York,US Open,2004-09-12,Grand Slam,Outdoor,Hard,The Final,5.0,Federer R.,Hewitt L.,1,5,6.0,0.0,7.0,6.0,6.0,0.0,,,,,3.0,0.0,Completed,2004,1.36,3.0,,,1.4,2.5,,,1.36,3.2,,,1.4,3.18,1.394,3.24,,,,,,,,,,,,,
51,Beijing,China Open,2004-09-19,International,Outdoor,Hard,The Final,3.0,Safin M.,Youzhny M.,13,35,7.0,6.0,7.0,5.0,,,,,,,2.0,0.0,Completed,2004,1.4,2.95,,,1.45,2.35,,,1.5,2.5,,,1.42,2.75,1.465,2.93,,,,,,,,,,,,,
52,Bucharest,Open Romania,2004-09-19,International,Outdoor,Clay,The Final,3.0,Acasuso J.,Andreev I.,95,49,6.0,3.0,6.0,0.0,,,,,,,2.0,0.0,Completed,2004,2.05,1.77,,,2.1,1.55,,,2.0,1.72,,,2.05,1.75,2.0,1.862,,,,,,,,,,,,,
53,Delray Beach,International Championships,2004-09-19,International,Outdoor,Hard,The Final,3.0,Mello R.,Spadea V.,100,24,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2004,2.3,1.62,,,2.1,1.55,,,2.37,1.53,,,2.45,1.5,2.45,1.613,,,,,,,,,,,,,
54,Bangkok,Thailand Open,2004-10-03,International,Indoor,Hard,The Final,3.0,Federer R.,Roddick A.,1,2,6.0,4.0,6.0,0.0,,,,,,,2.0,0.0,Completed,2004,1.36,3.0,,,1.45,2.35,,,1.4,2.75,,,1.4,2.85,1.407,3.16,,,,,,,,,,,,,
55,Palermo,Campionati Internazionali Di Sicilia,2004-10-03,International,Outdoor,Clay,The Final,3.0,Berdych T.,Volandri F.,55,45,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2004,2.5,1.53,,,2.35,1.45,,,2.25,1.57,,,2.53,1.48,2.55,1.575,,,,,,,,,,,,,
56,Shanghai,Heineken Open,2004-10-03,International,Outdoor,Hard,The Final,3.0,Canas G.,Burgsmuller L.,31,133,6.0,1.0,6.0,0.0,,,,,,,2.0,0.0,Completed,2004,1.18,4.65,,,1.2,3.6,,,1.22,4.0,,,1.14,5.19,,,,,,,,,,,,,,,
57,Lyon,Grand Prix de Lyon,2004-10-10,International,Indoor,Carpet,The Final,3.0,Soderling R.,Malisse X.,47,58,6.0,2.0,3.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,2004,1.65,2.2,,,1.75,1.85,,,1.66,2.1,,,1.7,2.1,1.73,2.2,,,,,,,,,,,,,
58,Tokyo,Japan Open,2004-10-10,International Gold,Outdoor,Hard,The Final,3.0,Novak J.,Dent T.,28,55,5.0,7.0,6.0,1.0,6.0,3.0,,,,,2.0,1.0,Completed,2004,1.67,2.15,,,1.5,2.2,,,1.57,2.25,,,1.6,2.3,1.599,2.48,,,,,,,,,,,,,
59,Metz,Open de Moselle,2004-10-17,International,Indoor,Hard,The Final,3.0,Haehnel J.,Gasquet R.,185,151,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2004,2.75,1.45,,,2.35,1.45,,,2.5,1.5,,,2.75,1.42,2.75,1.513,,,,,,,,,,,,,
60,Moscow,Kremlin Cup,2004-10-17,International,Indoor,Carpet,The Final,3.0,Davydenko N.,Rusedski G.,43,81,3.0,6.0,6.0,3.0,7.0,5.0,,,,,2.0,1.0,Completed,2004,2.5,1.53,,,2.1,1.5,,,2.25,1.57,,,2.45,1.5,2.55,1.575,,,,,,,,,,,,,
61,Vienna,CA Tennis Trophy,2004-10-17,International Gold,Indoor,Hard,The Final,5.0,Lopez F.,Canas G.,31,26,6.0,4.0,1.0,6.0,7.0,5.0,3.0,6.0,7.0,5.0,3.0,2.0,Completed,2004,2.65,1.48,,,2.5,1.4,,,2.37,1.53,,,2.75,1.42,2.76,1.51,,,,,,,,,,,,,
62,Madrid,Madrid Masters,2004-10-24,Masters,Indoor,Hard,The Final,5.0,Safin M.,Nalbandian D.,9,10,6.0,2.0,6.0,4.0,6.0,3.0,,,,,3.0,0.0,Completed,2004,1.6,2.35,,,1.6,2.0,,,1.571,2.25,,,1.571,2.25,1.617,2.44,,,,,,,,,,,,,
63,Basel,Swiss Indoors,2004-10-31,International,Indoor,Carpet,The Final,5.0,Novak J.,Nalbandian D.,20,10,5.0,7.0,6.0,3.0,6.0,4.0,1.0,6.0,6.0,2.0,3.0,2.0,Completed,2004,2.75,1.45,,,2.5,1.4,,,2.75,1.4,,,2.45,1.5,2.92,1.455,,,,,,,,,,,,,
64,St. Petersburg,St. Petersburg Open,2004-10-31,International,Indoor,Carpet,The Final,3.0,Youzhny M.,Beck K.,31,53,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2004,1.48,2.65,,,1.45,2.35,,,1.5,2.5,,,1.45,2.6,1.455,2.92,,,,,,,,,,,,,
65,Stockholm,Stockholm Open,2004-10-31,International,Indoor,Hard,The Final,3.0,Johansson T.,Agassi A.,42,7,3.0,6.0,6.0,3.0,7.0,6.0,,,,,2.0,1.0,Completed,2004,4.55,1.2,,,3.2,1.25,,,4.0,1.222,,,3.98,1.22,4.9,1.215,,,,,,,,,,,,,
66,Paris,BNP Paribas,2004-11-07,Masters,Indoor,Carpet,The Final,5.0,Safin M.,Stepanek R.,7,63,6.0,3.0,7.0,6.0,6.0,3.0,,,,,3.0,0.0,Completed,2004,1.17,5.0,,,1.2,3.6,,,1.143,5.0,,,1.18,4.45,1.164,5.7,,,,,,,,,,,,,
67,Houston,Masters Cup,2004-11-21,Masters Cup,Outdoor,Hard,The Final,5.0,Federer R.,Hewitt L.,1,3,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2004,1.22,4.1,,,1.2,3.6,,,1.2,4.5,,,1.18,5.01,1.202,5.05,,,,,,,,,,,,,
1,Adelaide,Next Generation Hardcourts,2005-01-09,International,Outdoor,Hard,The Final,3.0,Johansson J.,Dent T.,11,32,7.0,5.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2005,1.67,2.15,,,1.7,1.9,,,1.66,2.1,,,1.65,2.15,1.714,2.2,,,,,,,,,,,,,
2,Chennai,TATA Open,2005-01-09,International,Outdoor,Hard,The Final,3.0,Moya C.,Srichaphan P.,5,27,3.0,6.0,6.0,4.0,7,6,,,,,2.0,1.0,Completed,2005,1.65,2.2,,,1.55,2.1,,,1.53,2.37,,,1.65,2.15,1.595,2.48,,,,,,,,,,,,,
3,Doha,Qatar Exxon Mobil Open,2005-01-08,International,Outdoor,Hard,The Final,3.0,Federer R.,Ljubicic I.,1,22,6.0,3.0,6.0,1.0,,,,,,,2.0,0.0,Completed,2005,1.05,8.25,,,1.1,5.0,,,1.07,7.5,,,1.07,7.5,1.074,11.0,,,,,,,,,,,,,
4,Auckland,Heineken Open,2005-01-15,International,Outdoor,Hard,The Final,3.0,Gonzalez F.,Rochus O.,23,58,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2005,1.6,2.35,,,1.6,2.0,,,1.61,2.2,,,1.53,2.4,1.685,2.26,,,,,,,,,,,,,
5,Sydney,Medibank International,2005-01-15,International,Outdoor,Hard,The Final,3.0,Hewitt L.,Minar I.,3,158,7.0,5.0,6.0,0.0,,,,,,,2.0,0.0,Completed,2005,1.05,9.0,,,1.05,6.0,,,1.11,6.0,,,1.09,6.68,1.079,10.38,,,,,,,,,,,,,
6,Melbourne,Australian Open,2005-01-30,Grand Slam,Outdoor,Hard,The Final,5.0,Safin M.,Hewitt L.,4,3,1.0,6.0,6.0,3.0,6,4,6.0,4.0,,,3.0,1.0,Completed,2005,1.7,2.15,,,1.6,2.0,,,1.66,2.25,,,1.65,2.3,1.741,2.21,,,,,,,,,,,,,
7,Delray Beach,International Championships,2005-02-06,International,Outdoor,Hard,The Final,3.0,Malisse X.,Novak J.,46,28,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2005,2.3,1.6,,,2.35,1.45,,,2.5,1.5,,,2.6,1.45,2.53,1.578,,,,,,,,,,,,,
8,Milan,Internazionali di Lombardia,2005-02-06,International,Indoor,Carpet,The Final,3.0,Soderling R.,Stepanek R.,37,30,6.0,3.0,6.0,7.0,7,6,,,,,2.0,1.0,Completed,2005,1.67,2.15,,,1.6,2.0,,,1.57,2.25,,,1.6,2.25,1.649,2.34,,,,,,,,,,,,,
9,Vina del Mar,Bellsouth Open,2005-02-06,International,Outdoor,Clay,The Final,3.0,Gaudio G.,Gonzalez F.,8,14,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2005,1.7,2.1,,,1.7,1.9,,,1.8,1.9,,,1.8,1.95,1.769,2.1,,,,,,,,,,,,,
10,Buenos Aires,ATP Buenos Aires 2005,2005-02-13,International,Outdoor,Clay,The Final,3.0,Gaudio G.,Puerta M.,8,117,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2005,1.17,4.75,,,1.2,3.6,,,1.19,4.33,,,1.2,4.25,1.2,5.0,,,,,,,,,,,,,
11,Marseille,Open 13,2005-02-13,International,Indoor,Hard,The Final,3.0,Johansson J.,Ljubicic I.,11,22,7.0,5.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2005,1.4,2.85,,,1.45,2.35,,,1.39,2.75,,,1.48,2.53,1.417,3.05,,,,,,,,,,,,,
12,San Jose,SAP Open,2005-02-14,International,Indoor,Hard,The Final,3.0,Roddick A.,Saulnier C.,3,55,6.0,0.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2005,1.13,5.65,,,1.15,4.0,,,1.12,5.5,,,1.1,6.25,1.165,5.65,,,,,,,,,,,,,
13,Costa Do Sauipe,Brasil Open,2005-02-20,International,Outdoor,Clay,The Final,3.0,Nadal R.,Martin A.,48,61,6.0,0.0,6.0,7.0,6,1,,,,,2.0,1.0,Completed,2005,1.35,3.1,,,1.4,2.5,,,1.36,3.0,,,1.35,3.1,1.435,3.0,,,,,,,,,,,,,
14,Memphis,Regions Morgan Keegan Championships,2005-02-20,International Gold,Indoor,Hard,The Final,3.0,Mirnyi M.,Carlsen K.,39,87,7.0,5.0,7.0,5.0,,,,,,,2.0,0.0,Completed,2005,1.33,3.2,,,1.25,3.2,,,1.28,3.5,,,1.37,2.92,1.355,3.42,,,,,,,,,,,,,
15,Rotterdam,ABN AMRO World Tennis Tournament,2005-02-20,International Gold,Indoor,Hard,The Final,3.0,Federer R.,Johansson T.,1,29,5.0,7.0,7.0,5.0,7,6,,,,,2.0,1.0,Completed,2005,1.05,9.0,,,1.05,6.0,,,1.06,8.0,,,1.05,8.5,1.069,11.75,,,,,,,,,,,,,
16,Acapulco,Abierto Mexicano,2005-02-27,International Gold,Outdoor,Clay,The Final,3.0,Nadal R.,Montanes A.,39,95,6.0,1.0,6.0,0.0,,,,,,,2.0,0.0,Completed,2005,1.13,5.65,,,1.1,5.0,,,1.12,5.5,,,1.15,5.2,1.136,6.6,,,,,,,,,,,,,
17,Dubai ,Dubai Duty Free Men's Open,2005-02-27,International Gold,Outdoor,Hard,The Final,3.0,Federer R.,Ljubicic I.,1,14,6.0,1.0,6.0,7.0,6,3,,,,,2.0,1.0,Completed,2005,1.12,6.0,,,1.1,4.5,,,1.08,7.0,,,1.13,5.5,1.146,6.15,,,,,,,,,,,,,
