Winner,Year,Wins
Ferreira W.,2003,1
Ferrer D.,2002,1
Ferrer D.,2006,1
Ferrer D.,2007,3
Ferrer D.,2008,2
Ferrer D.,2010,2
Ferrer D.,2011,2
Ferrer D.,2012,7
Ferrer D.,2013,2
Ferrer D.,2014,1
Ferrer D.,2015,5
Ferrer D.,2017,1
Ferrero J.C.,2001,4
Ferrero J.C.,2002,2
Ferrero J.C.,2003,4
Ferrero J.C.,2009,1
Ferrero J.C.,2010,3
Ferrero J.C.,2011,1
Fils A.,2023,1
Fils A.,2024,1
Fish M.,2003,1
Fish M.,2006,1
Fish M.,2009,1
Fish M.,2010,2
Fish M.,2011,1
Fognini F.,2013,2
Fognini F.,2014,1
Fognini F.,2016,1
Fognini F.,2017,1
Fognini F.,2018,3
Fognini F.,2019,1
Fritz T.,2019,1
Fritz T.,2022,3
Fritz T.,2023,2
Fritz T.,2024,2
Fucsovics M.,2018,1
Fucsovics M.,2024,1
Gambill J.M.,2001,1
Gambill J.M.,2003,1
Garcia-Lopez G.,2009,1
Garcia-Lopez G.,2010,1
Garcia-Lopez G.,2014,1
Garcia-Lopez G.,2015,2
Garin C.,2019,2
Garin C.,2020,2
Garin C.,2021,1
Gasquet R.,2005,1
Gasquet R.,2006,3
Gasquet R.,2007,1
Gasquet R.,2010,1
Gasquet R.,2012,1
Gasquet R.,2013,3
Gasquet R.,2015,2
Gasquet R.,2016,2
Gasquet R.,2018,1
Gasquet R.,2023,1
Gaudenzi A.,2001,2
Gaudio G.,2002,2
Gaudio G.,2004,1
Gaudio G.,2005,5
Ginepri R.,2003,1
Ginepri R.,2005,1
Ginepri R.,2009,1
Giron M.,2024,1
Godwin N.,2001,1
Goffin D.,2014,2
Goffin D.,2017,2
Goffin D.,2021,1
Goffin D.,2022,1
Gojowczyk P.,2017,1
Golmard J.,2000,1
Golubev A.,2010,1
Gonzalez F.,2000,1
Gonzalez F.,2002,2
Gonzalez F.,2004,1
Gonzalez F.,2005,3
Gonzalez F.,2007,1
Gonzalez F.,2008,2
Gonzalez F.,2009,1
Granollers M.,2008,1
Granollers M.,2011,2
Granollers M.,2013,1
Griekspoor T.,2023,2
Grosjean S.,2000,1
Grosjean S.,2001,1
Grosjean S.,2002,1
Grosjean S.,2007,1
Gulbis E.,2010,1
Gulbis E.,2011,1
Gulbis E.,2013,2
Gulbis E.,2014,2
Gustafsson M.,2000,1
Haas T.,2001,4
Haas T.,2004,2
Haas T.,2006,3
Haas T.,2007,1
Haas T.,2009,1
Haas T.,2012,1
Haas T.,2013,2
Haase R.,2011,1
Haase R.,2012,1
Haehnel J.,2004,1
Hanescu V.,2008,1
Harrison R.,2017,1
Henman T.,2000,2
Henman T.,2001,2
Henman T.,2002,1
Henman T.,2003,2
Hewitt L.,2000,4
Hewitt L.,2001,6
Hewitt L.,2002,5
Hewitt L.,2003,2
Hewitt L.,2004,4
Hewitt L.,2005,1
Hewitt L.,2006,1
Hewitt L.,2007,1
Hewitt L.,2009,1
Hewitt L.,2010,1
Hewitt L.,2014,2
Horna L.,2006,1
Horna L.,2007,1
Hrbaty D.,2001,1
Hrbaty D.,2004,3
Huesler M.A.,2022,1
Humbert U.,2020,2
Humbert U.,2021,1
Humbert U.,2023,1
Humbert U.,2024,2
Hurkacz H.,2019,1
Hurkacz H.,2021,3
Hurkacz H.,2022,1
Hurkacz H.,2023,2
Hurkacz H.,2024,1
Ilie A.,2000,1
